iso,year,events_flood,events_drought,events_hurricane,deaths_flood,deaths_drought,deaths_hurricane,affected_flood,affected_drought,affected_hurricane,int_disp_flood,int_disp_hurricane,int_disp_drought,asylum_apps,gdp_pc_const,agri_va_pct,unemp_rate,remit_gdp_pct,population,gini_index,diaspora_US,diaspora_ESP,total_events,total_int_disp,asylum_apps_pc100k,int_disp_total_pc100k,deaths_total,affected_total,deaths_per_event,affected_per_event,any_drought_event,any_flood_event,any_hurricane_event,any_internal_disp,log_asylum_apps,log_int_disp_total,log_events_total,lag_asylum_apps,lag_int_disp_total,lag_total_events,lag_drought_events,lag_flood_events,lag_hurricane_events
MEX,2009,5,0,2,28,0,4,140170,0,112000,200000,175000,0,11658,9074.1188146315,3.10059842114934,5.356,2.42656562220423,111999721,NA,NA,NA,7,375000,10.40895450087773,334.82226263760066,32,252170,4.571428571428571,36024.28571428572,0,1,1,1,9.36383369293329,12.834683971615659,2.0794415416798357,10800,13100,2,0,1,1
CUB,2009,0,0,0,0,0,0,0,0,0,0,0,0,3079,6561.2530509300605,3.93041237113402,1.67,NA,11294719,NA,NA,NA,0,0,27.260527685549327,0,0,0,NA,NA,0,0,0,0,8.03268487596762,0,0,1356,2730000,5,0,1,4
DOM,2009,2,0,0,7,0,0,14565,0,0,0,0,0,703,5294.64953374426,6.01021373970952,5.467,7.0809461544121,9695265,48.9,NA,NA,2,0,7.250962196494887,0,7,14565,3.5,7282.5,0,1,0,0,6.556778356158042,0,1.0986122886681098,321,8925,3,0,0,3
HTI,2009,3,0,0,21,0,0,2796,0,0,9910,0,0,5586,1412.89653523429,18.7934646435559,15.351,11.8612273498359,9689581,NA,NA,NA,3,9910,57.6495516163186,102.27480424592147,21,2796,7,932,0,1,0,1,8.628197749459149,9.201400530406708,1.3862943611198906,8609,138761,4,0,0,4
JAM,2009,0,0,0,0,0,0,0,0,0,0,0,0,700,5094.03085966818,5.47226787895058,7.314,15.5892981186189,2736995,NA,NA,NA,0,0,25.57549429209772,0,0,0,NA,NA,0,0,0,0,6.55250788703459,0,0,698,1520,2,0,0,2
TTO,2009,0,0,0,0,0,0,0,0,0,0,0,0,181,17489.7729189579,0.595145826393538,5.28,0.570097319287738,1310106,NA,NA,NA,0,0,13.81567598347004,0,0,0,NA,NA,0,0,0,0,5.204006687076795,0,0,201,0,0,0,0,0
BHS,2009,0,0,0,0,0,0,0,0,0,0,0,0,30,30581.4340580326,0.9096409923502,14.25,0,362810,NA,NA,NA,0,0,8.268790827154708,0,0,0,NA,NA,0,0,0,0,3.4339872044851463,0,0,30,500,2,0,0,2
BRB,2009,0,0,0,0,0,0,0,0,0,0,0,0,46,20294.7826712927,1.43755847574072,10.02,2.56281551691838,274123,NA,NA,NA,0,0,16.78078818632512,0,0,0,NA,NA,0,0,0,0,3.8501476017100584,0,0,34,0,0,0,0,0
GRD,2009,0,0,0,0,0,0,0,0,0,0,0,0,54,7733.12990600058,4.62642452810256,NA,4.58259874104539,111254,NA,NA,NA,0,0,48.53758067125676,0,0,0,NA,NA,0,0,0,0,4.007333185232471,0,0,36,0,0,0,0,0
LCA,2009,0,0,0,0,0,0,0,0,0,0,0,0,376,10219.8024011561,3.64863368192877,15.37,2.16299993159892,169869,NA,NA,NA,0,0,221.34703801164426,0,0,0,NA,NA,0,0,0,0,5.932245187448011,0,0,259,0,0,0,0,0
VCT,2009,0,0,0,0,0,0,0,0,0,0,0,0,656,6948.77356913743,6.34514264594716,19.386,5.73232449733299,110508,NA,NA,NA,0,0,593.6221811995512,0,0,0,NA,NA,0,0,0,0,6.48768401848461,0,0,498,0,0,0,0,0
ATG,2009,0,0,0,0,0,0,0,0,0,0,0,0,23,17746.700856041,1.11203119991452,NA,2.0062737661472,84173,NA,NA,NA,0,0,27.3246765589916,0,0,0,NA,NA,0,0,0,0,3.1780538303479458,0,0,16,45,1,0,0,1
KNA,2009,0,0,0,0,0,0,0,0,0,0,0,0,10,17671.2547069735,1.12219809235891,NA,2.10816073701583,46916,NA,NA,NA,0,0,21.314690084406173,0,0,0,NA,NA,0,0,0,0,2.3978952727983707,0,0,5,0,1,0,0,1
ARG,2010,0,0,0,0,0,0,0,0,0,0,0,0,83,13387.155374845801,7.13216745078964,7.714,0.152091367663287,41288694,43.7,NA,NA,0,0,0.20102355380870124,0,0,0,NA,NA,0,0,0,0,4.430816798843313,0,0,77,0,3,1,2,0
BOL,2010,1,1,0,26,0,0,227860,62500,0,100000,0,0,234,2481.40700850945,10.3899057010594,2.608,4.88664757003882,10182345,NA,NA,NA,2,100000,2.2980953797970898,982.0920426483291,26,290360,13,145180,1,1,0,1,5.459585514144159,11.51293546492023,1.0986122886681098,324,630,1,0,1,0
BRA,2010,3,1,0,363,0,0,231535,62000,0,230497,0,0,465,8792.63436120342,4.11575648779356,8.422,0.13956669623869,193701929,NA,NA,NA,4,230497,0.24005956079043486,118.99571738389864,363,293535,90.75,73383.75,1,1,0,1,6.1441856341256456,12.347997464591609,1.6094379124341003,387,522950,7,0,7,0
CHL,2010,0,0,0,0,0,0,0,0,0,0,0,0,154,11649.2897090856,3.47828463189786,8.278,0.0287143864918113,17181464,NA,NA,NA,0,0,0.8963147727108702,0,0,0,NA,NA,0,0,0,0,5.043425116919247,0,0,158,697,0,0,0,0
COL,2010,3,0,0,418,0,0,2796097,0,0,3000000,0,0,32384,5214.24547620131,6.32485387641069,11.153,1.40693436300273,44777319,54.6,NA,NA,3,3000000,72.3223290791483,6699.820505108848,418,2796097,139.33333333333334,932032.3333333334,0,1,0,1,10.385450631617017,14.914123179965662,1.3862943611198906,39198,0,1,0,1,0
ECU,2010,2,0,0,14,0,0,6440,0,0,500,0,0,511,5022.20374387205,8.33021025899583,4.088,3.81361167392642,15076695,48.8,NA,NA,2,500,3.3893369866539054,3.316376699269966,14,6440,7,3220,0,1,0,1,6.238324625039508,6.2166061010848646,1.0986122886681098,292,0,2,1,1,0
GUY,2010,0,1,0,0,0,0,0,0,0,0,0,0,151,4860.09110980566,28.5284323037662,11.636,10.7140920276288,749256,NA,NA,NA,1,0,20.15332543216204,0,0,0,0,0,1,0,0,0,5.0238805208462765,0,0.6931471805599453,211,0,0,0,0,0
PRY,2010,0,0,0,0,0,0,0,0,0,0,0,0,31,5191.05014254402,13.0144797820733,4.569,1.50356446194434,5737971,51,NA,NA,0,0,0.5402606600835034,0,0,0,NA,NA,0,0,0,0,3.4657359027997265,0,0,20,0,2,1,1,0
PER,2010,1,0,0,20,0,0,80000,0,0,9000,0,0,1537,5167.39259325937,6.82799723597835,3.6,1.71758394083601,29086019,45.5,NA,NA,1,9000,5.284325778649873,30.942701371404592,20,80000,20,80000,0,1,0,1,7.338238150065589,9.105090961257085,0.6931471805599453,1991,45825,1,0,1,0
SUR,2010,0,0,0,0,0,0,0,0,0,0,0,0,16,8603.90786745855,9.47219211206537,7.15,0.0984348628366547,549923,NA,NA,NA,0,0,2.909498238844347,0,0,0,NA,NA,0,0,0,0,2.833213344056216,0,0,15,0,0,0,0,0
URY,2010,0,0,0,0,0,0,0,0,0,0,0,0,42,14722.3780081191,7.20206450749149,7.158,0.297711381718448,3318580,44.5,NA,NA,0,0,1.2656015524712376,0,0,0,NA,NA,0,0,0,0,3.7612001156935624,0,0,23,0,1,0,1,0
VEN,2010,1,0,1,41,0,8,94800,0,0,101684,0,0,938,NA,5.37526516550554,7.112,0.0363689675955094,28813101,NA,NA,NA,2,101684,3.255463547641054,352.908907652807,49,94800,24.5,47400,0,1,1,1,6.844815479208263,11.529635078533175,1.0986122886681098,781,0,1,1,0,0
BLZ,2010,0,0,1,0,0,0,0,0,0,0,0,0,39,5919.55662085777,8.76439250730366,8.416,4.4758303025842,320245,NA,NA,NA,1,0,12.178176083935737,0,0,0,0,0,0,0,1,0,3.6888794541139363,0,0.6931471805599453,16,0,0,0,0,0
CRI,2010,2,0,0,27,0,0,3106,0,0,0,0,0,46,10285.0856660482,6.48518940835915,7.171,1.40920944250019,4555962,48,NA,NA,2,0,1.009666015651579,0,27,3106,13.5,1553,0,1,0,0,3.8501476017100584,0,1.0986122886681098,55,0,0,0,0,0
SLV,2010,0,0,3,0,0,18,0,0,11750,0,15508,0,3810,3398.49346060363,6.98170850697531,4.893,18.8196648675298,6068249,43.5,NA,NA,3,15508,62.78582174198851,255.5597174736897,18,11750,6,3916.6666666666665,0,0,1,1,8.24564690087386,9.649175779559453,1.3862943611198906,3211,15000,2,1,0,1
GTM,2010,1,0,3,0,0,174,3270,0,399988,0,112000,0,2568,3546.62571493701,11.2341516901897,3.497,10.3860258746852,14500112,NA,NA,NA,4,112000,17.710208031496585,772.4078269188542,174,403258,43.5,100814.5,0,1,1,1,7.851271997109883,11.626263078808801,1.6094379124341003,2123,0,2,1,1,0
HND,2010,2,0,2,122,0,22,5000,0,16673,0,7998,0,1659,2108.47314459603,11.5912204379757,4.119,16.5278735126143,8365878,53.1,NA,NA,4,7998,19.830554545500185,95.60263728445479,144,21673,36,5418.25,0,1,1,1,7.414572881350589,8.987071812848821,1.6094379124341003,1515,0,1,1,0,0
NIC,2010,2,0,2,66,0,5,75860,0,0,61000,0,0,364,1704.37875049059,16.9826368007048,7.83,9.41702771812067,5737450,NA,NA,NA,4,61000,6.344281867380108,1063.1900931598532,71,75860,17.75,18965,0,1,1,1,5.8998973535824915,11.0186455364637,1.6094379124341003,424,0,3,0,2,1
PAN,2010,4,0,0,15,0,0,32642,0,0,0,0,0,36,10698.0717633911,3.63600328993314,5.845,1.35622331765004,3628535,51.6,NA,NA,4,0,0.9921359446718855,0,15,32642,3.75,8160.5,0,1,0,0,3.6109179126442243,0,1.6094379124341003,31,0,1,0,1,0
MEX,2010,2,0,4,66,0,43,1020000,0,555075,810000,90300,0,5270,9389.06722045352,3.09200838894055,5.303,2.05963610291329,113623895,47.7,NA,NA,6,900300,4.638108911862245,792.3509399145312,109,1575075,18.166666666666668,262512.5,0,1,1,1,8.569975376855206,13.710484430836816,1.9459101490553132,11658,375000,7,0,5,2
